F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    1464    1045  0  80   0 - 78804 do_pol ?        00:00:22 gvfs-afc-volume
0 S  1000    1471    1045  0  80   0 - 59160 do_pol ?        00:00:00 gvfs-goa-volume
0 S  1000    1480    1045  0  80   0 - 39262 do_pol ?        00:00:00 dconf-service
0 S  1000    1484    1045  0  80   0 - 254077 do_pol ?       00:00:03 evolution-addre
0 S  1000    1493    1045  0  80   0 - 84602 do_pol ?        00:00:01 goa-identity-se
0 S  1000    1499    1045  0  80   0 - 59117 do_pol ?        00:00:00 gvfs-mtp-volume
4 S     0    1512       1  0  80   0 - 93272 -      ?        00:00:38 packagekitd
0 S  1000    1520    1212  0  80   0 - 78720 do_pol ?        00:00:00 gvfsd-trash
0 S  1000    1534    1045  0  80   0 - 40672 do_pol ?        00:00:00 at-spi2-registr
0 S  1000    1535    1045  0  80   0 - 649860 do_pol ?       00:00:00 gjs
0 S  1000    1547    1045  0  80   0 -   723 do_wai ?        00:00:00 sh
0 S  1000    1549    1045  0  80   0 - 77599 do_pol ?        00:00:00 gsd-a11y-settin
0 S  1000    1556    1547  0  80   0 - 78826 do_pol ?        00:00:09 ibus-daemon
0 S  1000    1558    1045  0  80   0 - 149837 do_pol ?       00:00:05 gsd-color
0 S  1000    1561    1045  0  80   0 - 93859 do_pol ?        00:00:00 gsd-datetime
0 S  1000    1567    1045  0  80   0 - 77975 do_pol ?        00:00:06 gsd-housekeepin
0 S  1000    1571    1045  0  80   0 - 85334 do_pol ?        00:00:00 gsd-keyboard
0 S  1000    1579    1045  0  80   0 - 160939 do_pol ?       00:00:01 gsd-media-keys
0 S  1000    1580    1045  0  80   0 - 131263 do_pol ?       00:00:02 gsd-power
0 S  1000    1582    1045  0  80   0 - 62466 do_pol ?        00:00:01 gsd-print-notif
0 S  1000    1583    1045  0  80   0 - 114466 do_pol ?       00:00:01 gsd-rfkill
0 S  1000    1585    1045  0  80   0 - 59074 do_pol ?        00:00:00 gsd-screensaver
0 S  1000    1589    1045  0  80   0 - 116477 do_pol ?       00:00:02 gsd-sharing
0 S  1000    1606    1045  0  80   0 - 96503 do_pol ?        00:00:00 gsd-smartcard
0 S  1000    1607    1291  0  80   0 - 205533 do_pol ?       00:00:03 evolution-alarm
0 S  1000    1610    1045  0  80   0 - 79828 do_pol ?        00:00:00 gsd-sound
0 S  1000    1620    1556  0  80   0 - 59329 do_pol ?        00:00:00 ibus-dconf
0 S  1000    1624    1045  0  80   0 - 103898 do_pol ?       00:00:01 gsd-wacom
0 S  1000    1627    1556  0  80   0 - 87143 do_pol ?        00:00:05 ibus-extension-
0 S  1000    1635    1045  0  80   0 - 59317 do_pol ?        00:00:00 ibus-portal
0 S  1000    1652    1045  0  80   0 - 56164 -      ?        00:07:44 vmtoolsd
0 S  1000    1668    1291  0  80   0 - 58068 do_pol ?        00:00:00 gsd-disk-utilit
0 S  1000    1689    1045  0  80   0 - 85591 do_pol ?        00:00:00 gsd-printer
0 S  1000    1709    1045  0  80   0 - 40769 do_pol ?        00:00:00 gvfsd-metadata
4 S  1000    1738    1045  0  80   0 - 244901 do_pol ?       00:00:46 snap-store
0 S  1000    1763    1556  0  80   0 - 40906 do_pol ?        00:00:02 ibus-engine-sim
0 S  1000    1772    1310  0  80   0 - 58005 ep_pol ?        00:00:06 Xwayland
0 S  1000    1773    1045  0  80   0 - 104554 do_pol ?       00:00:01 xdg-desktop-por
4 S   123    1822       1  0  80   0 - 61352 -      ?        00:00:00 colord
0 S  1000    1828    1045  0  99   - - 198297 do_pol ?       00:00:09 tracker-miner-f
0 S  1000    1860    1045  0  80   0 - 633477 do_pol ?       00:00:01 gjs
0 S  1000    1896    1045  0  80   0 - 154713 do_pol ?       00:00:02 gsd-xsettings
0 S  1000    1952    1045  0  80   0 - 67160 do_pol ?        00:00:00 ibus-x11
0 S  1000    2850    1291  0  80   0 - 123521 do_pol ?       00:00:13 update-notifier
0 S  1000    3731    1045  0  90  10 - 175811 do_pol ?       00:03:26 update-manager
0 S  1000    3789    1045  0  80   0 - 139285 do_pol ?       00:01:18 gnome-terminal-
0 S  1000    3807    3789  0  80   0 -  2886 do_wai pts/0    00:00:01 bash
0 S  1000   18672    1045  0  80   0 - 199932 do_pol ?       00:00:13 nautilus
0 S  1000   34730    1181  0  80   0 -  2022 -      ?        00:00:00 ssh-agent
1 I     0   47274       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H-kblockd
1 I     0   47787       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H-ttm
1 I     0   47851       2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:2-events_power_efficient
1 I     0   47886       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1-events
1 I     0   47919       2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:0-events_unbound
1 I     0   47961       2  0  80   0 -     0 -      ?        00:00:02 kworker/1:2-events
1 I     0   47966       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:2H-kblockd
1 I     0   48113       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:3-rcu_par_gp
1 I     0   48114       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:2-cgroup_destroy
4 S     0   48115       1  0  80   0 - 18222 -      ?        00:00:00 cupsd
4 S     0   48116       1  0  80   0 - 43159 -      ?        00:00:00 cups-browsed
1 I     0   48121       2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:4-events_unbound
1 I     0   48122       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:0H-kblockd
1 I     0   48131       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0-rcu_gp
1 D     0   48138       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:1+usb_hub_wq
0 S  1000   48154    1310  0  80   0 - 698200 do_pol ?       00:00:00 gjs
1 I     0   48192       2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
0 R  1000   48197    3807  0  80   0 -  3169 -      pts/0    00:00:00 ps
